"","age","PS","SS","EL","LL","TS_notx","TS","EN","LN","Treated","Dead_TS","Dead_other","n_sim"
"1",2,0.000583642727742013,0.0122760883667231,0,0,0.00101715761133027,0.101783171526596,0.00414288798728131,0.000112061298315887,0,1.00818618921287e-07,1.49172191952966,1
"2",7,0.000583646070231378,0.012276744229639,0,0,0.00101725274426173,0.0994637758686656,0.00414345992475276,0.000112071414373212,0,5.09973965478712e-07,1.73835587697163,1
"3",12,0.000583645512851586,0.0122766229813808,0,0,0.00101613395937999,0.0966739643300508,0.00414323996148993,0.000111941869260652,0,2.58387618299143e-06,2.04160992749722,1
"4",17,0.000583633911209291,0.0122743203015487,0,0,0.00101369586784984,0.0935385298343223,0.00414099222796308,0.00011166282379827,0,1.31354642342672e-05,2.35624127894928,1
"5",22,0.000583619866299661,0.0122715480083722,0,0,0.00101161787682784,0.0902043272680742,0.00413842068114612,0.000111428236053337,0,6.69252156480769e-05,2.63937989825114,1
"6",27,0.000583613503212024,0.0122702938411895,0,0,0.00101045807534733,0.0865427790457621,0.00413726700162186,0.000111302288581767,0,0.000208072771353793,2.90008742118241,1
"7",32,0.000583608463598457,0.0122692963522743,0,0,0.00100919984936593,0.0823427591853082,0.00413631253936757,0.000111168677101918,0,0.00042388163351074,3.18417029413596,1
"8",37,0.00058360195422019,0.012268008958524,0,0,0.00100741336967096,0.0774980902340154,0.00413508965762887,0.000110976816151593,0,0.000674696497722367,3.49792776570744,1
"9",42,0.000583593261462711,0.0122662771589631,0,0,0.00100402641211824,0.0719053666716008,0.00413332326951661,0.000110602862635886,0,0.000955813115124504,3.84750343771545,1
"10",50,0.000583546594862417,0.0122570209008758,0,0,0.000991451222625206,0.0615089326490113,0.00412423653664462,0.000109190585127369,0,0.00146701398601911,4.40092040399409,1
"11",60,0.000583413610219138,0.0122307350549311,0,0,0.000963346236791448,0.0469981864401014,0.00409898501522041,0.00010592764025009,0,0.000601351368327384,4.67807774629801,1
"12",76,0.000582867722990324,0.0121233553726329,0,0,0.00084157081420561,0.0199997281534102,0.00399577592763605,9.19626022691651e-05,0,0.000411754078810712,3.39573077612423,1
"13",2,0.000584989691167322,0.0146593030561897,0,0,0.000823922776170442,0.0651368262760891,0.00591561440585559,9.44353410965933e-05,0,4.89160217086353e-07,1.49172187102988,2
"14",7,0.000584994086862644,0.0146603788628213,0,0,0.000823859081747423,0.0636037807304059,0.00591675255014304,9.4426650979455e-05,0,1.78863889110909e-06,1.73835571516103,2
"15",12,0.00058499335382557,0.0146601308501595,0,0,0.000822633911229275,0.0617643010051313,0.00591589145790329,9.42796647975252e-05,0,6.54420388945517e-06,2.04160941804596,2
"16",17,0.000584978096563058,0.0146562476144656,0,0,0.000820315380661816,0.059699073256926,0.0059106774093823,9.40049439479844e-05,0,2.40177823196343e-05,2.35623984483718,2
"17",22,0.00058495962645968,0.0146516317008439,0,0,0.00081840333828782,0.0575002902034885,0.00590511790103593,9.37806646166607e-05,0,8.87959431020653e-05,2.63937678102613,2
"18",27,0.000584951258620242,0.0146495489592326,0,0,0.000817273113152534,0.0550836604377771,0.00590260760779459,9.36499200679576e-05,0,0.00023544546245357,2.90008273622014,2
"19",32,0.000584944631258281,0.014647875839048,0,0,0.000815981561211277,0.0523131762833816,0.00590042723125203,9.35011608079796e-05,0,0.000448174608593375,3.18416473005493,2
"20",37,0.000584936071131846,0.0146457202501517,0,0,0.000814046867292251,0.049120654848311,0.00589766225753183,9.32764537682935e-05,0,0.000690411570066078,3.49792213697602,2
"21",42,0.000584924639825883,0.0146427683032138,0,0,0.00081038549225826,0.0454427862219693,0.00589326109250475,9.28459827978186e-05,0,0.000954597013552643,3.84749997237097,2
"22",50,0.000584863273376617,0.0146271432345493,0,0,0.00079761395877799,0.0386343142785772,0.00587178513982996,9.13366085628332e-05,0,0.00134668127988904,4.40094245198798,2
"23",60,0.000584688415849679,0.0145830157829505,0,0,0.00076922906603782,0.029149086854214,0.00581403735111124,8.79503429775602e-05,0,0.000678006677140107,4.67805677889977,2
"24",76,0.000583970905141947,0.0144028652057482,0,0,0.000648319083721841,0.0118386228410159,0.00557632063291148,7.35737810475778e-05,0,0.000377085536266156,3.39574180070012,2
"25",2,0.000759483733755968,0.00705651122955544,0,0,0.00122730752974248,0.212176402635453,0.00124432133686239,0.000138607853881502,0,4.40565109015865e-05,1.4917150263617,3
"26",7,0.000759486297191396,0.00705691162504168,0,0,0.00122476362712019,0.205942753676662,0.00124450808885619,0.000138320040228517,0,7.7135682272883e-05,1.73834377151595,3
"27",12,0.000759485869726747,0.00705683353855808,0,0,0.001219494082195,0.198588526935791,0.00124442305176912,0.000137723886701883,0,0.000134884441629344,2.04158884415574,3
"28",17,0.00075947697209529,0.0070554188716381,0,0,0.00121246586747433,0.190375174713352,0.00124366428049586,0.000136929392518004,0,0.000236061108034456,2.35620540677659,3
"29",22,0.000759466200454758,0.00705372066308367,0,0,0.00120604147702518,0.181573581442856,0.00124280928145091,0.000136204492539565,0,0.000414723663696971,2.63932209811517,3
"30",27,0.000759461320260894,0.0070529529151186,0,0,0.00119974283845833,0.171895971376177,0.00124242572675074,0.000135494987654761,0,0.000677820357919761,2.90000376974221,3
"31",32,0.000759457455080314,0.00705234088245187,0,0,0.00119108960483392,0.160931927547195,0.00124210493503978,0.000134519601413869,0,0.000985473003063007,3.18406069478973,3
"32",37,0.000759452462608673,0.00705155128316852,0,0,0.00117823877820744,0.148523118791662,0.00124169493070215,0.000133069069251299,0,0.00128533339453455,3.49779674211753,3
"33",42,0.000759445795490831,0.00705048478892873,0,0,0.00115843814321931,0.134580437680085,0.00124108982843983,0.000130830937516238,0,0.00154152512270095,3.84736540079004,3
"34",50,0.000759410002026129,0.00704479715152669,0,0,0.00110693378895543,0.109727273651748,0.00123801262987189,0.000125001001704363,0,0.00164025822101128,4.4008563256291,3
"35",60,0.000759307989380647,0.00702866592412427,0,0,0.00100664610676032,0.0767867614637953,0.00122951875929481,0.000113640715656257,0,0.00121471054082748,4.67791121602241,3
"36",76,0.000758889038683153,0.00696278285371898,0,0,0.000684211196692,0.0249916484557299,0.00119475621352871,7.71155946989459e-05,0,0.000401916173438917,3.39573983684878,3
"37",2,0.000253745328373984,0.00601916321401407,0,0,0.00229614468586643,0.265768009210721,0.000444268045961939,7.85155314502421e-05,0,4.49769129248021e-05,1.49171512459186,4
"38",7,0.000253745845433505,0.00601949025485663,0,0,0.00229252898403425,0.25829339946307,0.000444333529372771,7.83919704273817e-05,0,8.47607140179477e-05,1.73834302870145,4
"39",12,0.000253745759211554,0.00601942733275419,0,0,0.00228409548582451,0.249444576659453,0.00044430418017151,7.81036978832613e-05,0,0.000159558129011542,2.04158580504761,4
"40",17,0.000253743964501911,0.00601827371832646,0,0,0.00227252010485244,0.239548659439766,0.000444039069337189,7.77083982314361e-05,0,0.000300698611058175,2.35619681587587,4
"41",22,0.000253741791770248,0.00601688784041181,0,0,0.00226235655699759,0.228946483301936,0.000443739873328058,7.73624192990666e-05,0,0.000568829082382049,2.63930084174727,4
"42",27,0.000253740807385529,0.00601626118751012,0,0,0.00225306788914407,0.217273181939402,0.000443605630672297,7.70475172535284e-05,0,0.000982763873525353,2.89995935480061,4
"43",32,0.000253740027735754,0.00601576192890054,0,0,0.00224033099582127,0.203998931844243,0.000443493487053631,7.66153547539769e-05,0,0.00148135022697936,3.18398233752191,4
"44",37,0.000253739020694219,0.00601511775615742,0,0,0.0022209802512488,0.188902419259885,0.000443350122424547,7.59571078476483e-05,0,0.00198098925358471,3.49767575921722,4
"45",42,0.000253737675848242,0.00601424859437722,0,0,0.00219002788511718,0.17183879332761,0.000443138983621371,7.49014580089806e-05,0,0.00242661396137132,3.84719576934131,4
"46",50,0.000253730455672336,0.00600961066312988,0,0,0.00210604026480625,0.141169187357332,0.000442064070179742,7.20292983937594e-05,0,0.00265616114935504,4.4006320558182,4
"47",60,0.000253709876434843,0.00599645207679856,0,0,0.00193769771623368,0.100031198737757,0.000439095131182136,6.62634800353238e-05,0,0.00194272607739072,4.67771633721534,4
"48",76,0.000253625337599995,0.00594270332846413,0,0,0.00136205194192197,0.0335392552342665,0.000426945476733561,4.65465257429702e-05,0,0.000671628172484148,3.39566674368095,4
"49",2,0.000310867499803805,0.00711804749180848,0,0,0.00188768460487987,0.20764412409624,0.0028438884951472,0.00015016617886101,0,1.45456480301797e-05,1.49171990558592,5
"50",7,0.000310869665657296,0.00711839602863678,0,0,0.00188624133021911,0.202285087118193,0.00284433057659359,0.000150049549796132,0,3.36441088205753e-05,1.73835122179707,5
"51",12,0.000310869304480992,0.00711833438177152,0,0,0.00188134385515516,0.195899950947495,0.00284411834756434,0.000149654979694984,0,7.77665047527287e-05,2.04159928045233,5
"52",17,0.000310861786903395,0.00711711685144524,0,0,0.00187395854764776,0.188745828532103,0.00284230169368758,0.000149061834952464,0,0.000180091085045402,2.35621749499135,5
"53",22,0.000310852686244351,0.00711564757122508,0,0,0.00186787168379023,0.181098696207622,0.00284026511287159,0.000148575801378786,0,0.0004186077084744,2.63932900261389,5
"54",27,0.000310848563196214,0.00711498249940348,0,0,0.00186326583578665,0.172675575196661,0.00283935150690093,0.000148211279181933,0,0.000838464263472731,2.89999150959619,5
"55",32,0.000310845297722102,0.00711445452377037,0,0,0.00185722124551486,0.163046405066987,0.00283858458489334,0.000147732821998257,0,0.00138339915441963,3.18401230588191,5
"56",37,0.000310841079916065,0.00711377288569855,0,0,0.00184777378355054,0.152009630644915,0.00283760518643224,0.00014698122306383,0,0.00196401701687105,3.49769504190582,5
"57",42,0.000310835447395313,0.00711285890999747,0,0,0.00183138624584935,0.139404206393614,0.00283614937989603,0.000145670376587618,0,0.00253270350417373,3.84719167222758,5
"58",50,0.000310805210153673,0.00710796507549055,0,0,0.00178234197220806,0.116397004244132,0.00282877407538432,0.000141729687608233,0,0.00302510477766837,4.40056604809973,5
"59",60,0.000310719049614353,0.00709405273318249,0,0,0.00167884024369492,0.0848692957238391,0.00280846230213229,0.000133383602542052,0,0.00202184593502912,4.6776964635835,5
