"","age","male","msm","preg","LN0","LN5","LN10","LN15","LN20","LN25","LN30"
"1",2,0,0,1,0,0.00379561550767378,0.00590914631299928,0.00673806164371405,0.00706290431266008,0.00719007230203682,0.00723980877038623
"2",7,0,0,1,0,0.00379630999771524,0.0059101628189604,0.00673860824463047,0.00706292444435254,0.0071897672330272,0.00723931904546431
"3",12,0,0,1,0,0.00379578830066183,0.00590791018529983,0.00673480445685976,0.00705820975156805,0.00718454975616755,0.007233838596856
"4",17,0,0,1,0,0.00379378505775265,0.00590282545202456,0.00672773877493202,0.00704999557009509,0.00717571714093031,0.00722466765034696
"5",22,0,0,1,0,0.00379164628154654,0.00589778801067576,0.00672061332466105,0.00704162096001722,0.00716660736587376,0.00721510051759896
"6",27,0,0,1,0,0.00378978294549205,0.00589269198216022,0.00671314648328803,0.00703259576972006,0.00715653807055916,0.00720433034270776
"7",32,0,0,1,0,0.00378712828195611,0.0058860671244764,0.00670335209697456,0.00702044837802758,0.0071427210134298,0.00718944751892671
"8",37,0,0,1,0,0.00378423001405902,0.00587778538517471,0.00669010776233836,0.00700334006606663,0.00712304183673541,0.00716827584643256
"9",42,0,0,1,0,0.00377915847916652,0.00586321888836237,0.00666688341427946,0.00697400393273996,0.00709006146833554,0.00713318295403543
"10",50,0,0,1,0,0.00376202502535943,0.00581549723042776,0.00659532758056503,0.00688735688115801,0.0069941265982896,0.00703150280618948
"11",60,0,0,1,0,0.00372161417191427,0.00570961440154214,0.00643649791115631,0.00669095348262956,0.00677329279127219,0.00679637217550622
"12",76,0,0,1,0,0.00349775353729019,0.00510047554414463,NA,NA,NA,NA
