"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss","n_sim"
"1",2,1,1,0,73.9193876397769,73.919996289754,72.8816989975767,73.919996289754,0.000608649977067444,1.03829729217729,1
"2",7,1,1,0,68.9874000527729,68.9882684993047,68.0332990198423,68.9882684993048,0.000868446531811173,0.954969479462449,1
"3",12,1,1,0,64.022763697293,64.0240023193695,63.1521456322735,64.0240023193696,0.00123862207655634,0.87185668709617,1
"4",17,1,1,0,59.1329552021727,59.1347240506741,58.3440682214127,59.134724050674,0.00176884850137071,0.79065582926134,1
"5",22,1,1,0,54.4182914096742,54.420825573207,53.7080407484188,54.420825573207,0.00253416353280045,0.712784824788187,1
"6",27,1,1,0,49.8201358186502,49.8236119262197,49.1862215817752,49.8236119262197,0.00347610756954708,0.637390344444498,1
"7",32,1,1,0,45.2496955445548,45.2540680813518,44.6907765649372,45.2540680813518,0.00437253679700689,0.563291516414594,1
"8",37,1,1,0,40.695952611035,40.7009714534354,40.2104726847657,40.7009714534354,0.00501884240047445,0.490498768669731,1
"9",42,1,1,0,36.1581157982305,36.1634415995883,35.7440402276156,36.1634415995883,0.00532580135784855,0.419401371972747,1
"10",50,1,1,0,29.0642831038541,29.0690498077688,28.7571997753799,29.0690498077687,0.0047667039146404,0.311850032388808,1
"11",60,1,1,0,20.9266536840296,20.9295739710551,20.7336693592142,20.9295739710551,0.00292028702549274,0.195904611840927,1
"12",76,1,1,0,9.52360024922979,9.52435279288266,9.46127946400743,9.52435279288265,0.000752543652867033,0.0630733288752285,1
"13",2,1,1,0,73.9199962897513,73.919996289754,73.8527195773121,73.919996289754,2.64321897702757e-12,0.0672767124418812,2
"14",7,1,1,0,68.9882684991903,68.9882684993047,68.9243938980795,68.9882684993048,1.14482645585667e-10,0.0638746012252653,2
"15",12,1,1,0,64.0240023144509,64.0240023193695,63.9635543247522,64.0240023193696,4.91861840146157e-09,0.0604479946173839,2
"16",17,1,1,0,59.1347238376588,59.1347240506741,59.0776558553194,59.134724050674,2.13015255212667e-07,0.0570681953546526,2
"17",22,1,1,0,54.4208159488011,54.420825573207,54.3670082393528,54.420825573207,9.62440583407442e-06,0.0538173338541839,2
"18",27,1,1,0,49.8235500553773,49.8236119262197,49.7729208409206,49.8236119262197,6.18708423942849e-05,0.0506910852991354,2
"19",32,1,1,0,45.2539182372215,45.2540680813518,45.2064498668729,45.2540680813518,0.000149844130341137,0.0476182144788879,2
"20",37,1,1,0,40.700726205369,40.7009714534354,40.6564084142097,40.7009714534354,0.000245248066462977,0.0445630392256646,2
"21",42,1,1,0,36.1631042587012,36.1634415995883,36.1219275431796,36.1634415995883,0.00033734088713544,0.0415140564087864,2
"22",50,1,1,0,29.0684821111433,29.0690498077688,29.0322373073357,29.0690498077687,0.000567696625449088,0.0368125004330757,2
"23",60,1,1,0,20.9295245570417,20.9295739710551,20.8989331711724,20.9295739710551,4.94140133930898e-05,0.0306407998827076,2
"24",76,1,1,0,9.52425042882985,9.52435279288266,9.50179674054364,9.52435279288265,0.000102364052803949,0.0225560523390165,2
"25",2,1,1,0,73.919996289341,73.919996289754,73.8160711714494,73.919996289754,4.12953227169055e-10,0.103925118304616,3
"26",7,1,1,0,68.9882684934754,68.9882684993047,68.891003586465,68.9882684993048,5.82936365844944e-09,0.0972649128397904,3
"27",12,1,1,0,64.0240022371299,64.0240023193695,63.9334399447763,64.0240023193696,8.22396799549097e-08,0.0905623745933397,3
"28",17,1,1,0,59.1347228890097,59.1347240506741,59.0507602944198,59.134724050674,1.16166439312337e-06,0.0839637562541853,3
"29",22,1,1,0,54.4208092216008,54.420825573207,54.3432115918168,54.420825573207,1.63516061562063e-05,0.0776139813901437,3
"30",27,1,1,0,49.8235428914783,49.8236119262197,49.7521580389192,49.8236119262197,6.90347414149528e-05,0.0714538873005424,3
"31",32,1,1,0,45.2539189273191,45.2540680813518,45.1887124680678,45.2540680813518,0.000149154032669685,0.0653556132840123,3
"32",37,1,1,0,40.7007392529469,40.7009714534354,40.6416889040713,40.7009714534354,0.000232200488504475,0.0592825493640845,3
"33",42,1,1,0,36.1631297488516,36.1634415995883,36.1102123233112,36.1634415995883,0.000311850736714803,0.0532292762771149,3
"34",50,1,1,0,29.0685605151488,29.0690498077688,29.0252290171273,29.0690498077687,0.000489292620002857,0.0438207906414583,3
"35",60,1,1,0,20.9294862492269,20.9295739710551,20.8970689324665,20.9295739710551,8.77218281623016e-05,0.0325050385885675,3
"36",76,1,1,0,9.52426403035326,9.52435279288266,9.50710697387303,9.52435279288265,8.87625293941596e-05,0.0172458190096201,3
"37",2,1,1,0,73.9199962805606,73.919996289754,73.7263617127611,73.919996289754,9.19334297577734e-09,0.193634576992892,4
"38",7,1,1,0,68.9882684189379,68.9882684993047,68.8076808953031,68.9882684993048,8.03668740445573e-08,0.180587604001701,4
"39",12,1,1,0,64.0240016171183,64.0240023193695,63.856541815097,64.0240023193696,7.02251284678823e-07,0.167460504272576,4
"40",17,1,1,0,59.1347179065106,59.1347240506741,58.9801810835157,59.134724050674,6.14416349264957e-06,0.154542967158307,4
"41",22,1,1,0,54.4207719446172,54.420825573207,54.2786997627717,54.420825573207,5.36285898178335e-05,0.142125810435338,4
"42",27,1,1,0,49.823420789922,49.8236119262197,49.6935184177635,49.8236119262197,0.000191136297765127,0.130093508456255,4
"43",32,1,1,0,45.2536786036556,45.2540680813518,45.1358788919907,45.2540680813518,0.000389477696252527,0.118189189361082,4
"44",37,1,1,0,40.7003805477636,40.7009714534354,40.5946386023925,40.7009714534354,0.000590905671813857,0.106332851042922,4
"45",42,1,1,0,36.1626573646037,36.1634415995883,36.0689249627582,36.1634415995883,0.000784234984593013,0.0945166368301713,4
"46",50,1,1,0,29.0678903094023,29.0690498077688,28.992909638287,29.0690498077687,0.00115949836641249,0.0761401694817145,4
"47",60,1,1,0,20.9292874842542,20.9295739710551,20.8756258614783,20.9295739710551,0.000286486800909813,0.0539481095767762,4
"48",76,1,1,0,9.5241400980512,9.52435279288266,9.5001079184337,9.52435279288265,0.000212694831462912,0.024244874448959,4
"49",2,1,1,0,73.9199962897539,73.919996289754,73.8495772662261,73.919996289754,2.8421709430404e-14,0.0704190235278759,5
"50",7,1,1,0,68.9882684993012,68.9882684993047,68.9221461976323,68.9882684993048,3.5100811146549e-12,0.0661223016725074,5
"51",12,1,1,0,64.0240023189333,64.0240023193695,63.9622052998072,64.0240023193696,4.36202185483126e-10,0.0617970195624267,5
"52",17,1,1,0,59.1347239982926,59.1347240506741,59.0771876912416,59.134724050674,5.23814804864742e-08,0.057536359432369,5
"53",22,1,1,0,54.420819301322,54.420825573207,54.3673915833254,54.420825573207,6.27188498469877e-06,0.053433989881583,5
"54",27,1,1,0,49.8235570063901,49.8236119262197,49.7741387953839,49.8236119262197,5.49198296866393e-05,0.0494731308358709,5
"55",32,1,1,0,45.2539272293388,45.2540680813518,45.2084970465041,45.2540680813518,0.000140852012975756,0.0455710348477396,5
"56",37,1,1,0,40.7007352919043,40.7009714534354,40.6592795947259,40.7009714534354,0.000236161531148582,0.0416918587095338,5
"57",42,1,1,0,36.1631130574644,36.1634415995883,36.1256181318947,36.1634415995883,0.000328542123895659,0.0378234676936202,5
