"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss","n_sim"
"1",2,1,0,0,29.5230231610421,29.5230232638257,27.6016428760225,27.7215579745273,1.02783541677809e-07,0.119915098504809,1
"2",7,1,0,0,28.8605377059776,28.8605382177847,27.0627521206786,27.1803495206431,5.11807126457597e-07,0.117597399964549,1
"3",12,1,0,0,28.0787575987113,28.0787601461822,26.4107504001572,26.5255582263385,2.54747083161533e-06,0.114807826181313,1
"4",17,1,0,0,27.2088413602181,27.2088540562548,25.6743219903297,25.7859964091779,1.26960367268225e-05,0.111674418848217,1
"5",22,1,0,0,26.2918761074739,26.2919395584593,24.8936126749922,25.0019926778353,6.34509853796317e-05,0.108380002843042,1
"6",27,1,0,0,25.2988439120249,25.2990374224323,24.0415051180913,24.1463428265994,0.000193510407381581,0.104837708508114,1
"7",32,1,0,0,24.1743093073736,24.174694858654,23.0653465791977,23.166164042218,0.000385551280384533,0.100817463020334,1
"8",37,1,0,0,22.8930265272679,22.8936242573107,21.9382010421422,22.0343735870874,0.000597730042784406,0.0961725449451727,1
"9",42,1,0,0,21.4314432391683,21.4322643216156,20.6325805253709,20.7233704326711,0.000821082447323818,0.0907899073002092,1
"10",50,1,0,0,18.7395251121734,18.7407216561711,18.1851939606872,18.2659278835185,0.00119654399765778,0.0807339228312784,1
"11",60,1,0,0,14.9912388186816,14.9916919730005,14.7065850943293,14.7720077572748,0.000453154318813986,0.0654226629455614,1
"12",76,1,0,0,8.08266286071292,8.08295799414649,8.04502760011978,8.08295799414649,0.000295133433571237,0.0379303940267146,1
"13",2,1,0,0,29.5230227663895,29.5230232638257,27.6343424541521,27.7215579745273,4.97436147384178e-07,0.0872155203752172,2
"14",7,1,0,0,28.8605364280632,28.8605382177847,27.0946637621131,27.1803495206431,1.78972153008772e-06,0.0856857585300475,2
"15",12,1,0,0,28.0787537096173,28.0787601461822,26.441710267652,26.5255582263385,6.43656487753219e-06,0.083847958686448,2
"16",17,1,0,0,27.2088308767819,27.2088540562548,25.7042100803884,25.7859964091779,2.31794729472767e-05,0.0817863287894589,2
"17",22,1,0,0,26.2918554923296,26.2919395584593,24.9223606999918,25.0019926778353,8.40661297480949e-05,0.0796319778434835,2
"18",27,1,0,0,25.2988188593923,25.2990374224323,24.0690064528216,24.1463428265994,0.000218563040025543,0.0773363737778254,2
"19",32,1,0,0,24.1742881443463,24.174694858654,23.0914242886637,23.166164042218,0.000406714307700895,0.074739753554347,2
"20",37,1,0,0,22.8930142258299,22.8936242573107,21.9626378400433,22.0343735870874,0.000610031480778872,0.0717357470440732,2
"21",42,1,0,0,21.4314464326871,21.4322643216156,20.6551214247207,20.7233704326711,0.000817888928544619,0.0682490079504348,2
"22",50,1,0,0,18.739625018827,18.7407216561711,18.2042595673949,18.2659278835185,0.00109663734413701,0.061668316123594,2
"23",60,1,0,0,14.9911813243894,14.9916919730005,14.720521992603,14.7720077572748,0.000510648611053099,0.0514857646717886,2
"24",76,1,0,0,8.08268650467958,8.08295799414649,8.04956283222999,8.08295799414649,0.000271489466914687,0.0333951619165056,2
"25",2,1,0,0,29.5229792614078,29.5230232638257,27.4989181886969,27.7215579745273,4.40024178480769e-05,0.222639785830413,3
"26",7,1,0,0,28.8604625364849,28.8605382177847,26.9639178073227,27.1803495206431,7.56812998119472e-05,0.216431713320429,3
"27",12,1,0,0,28.0786300331255,28.0787601461822,26.3164382441829,26.5255582263385,0.000130113056631131,0.209119982155553,3
"28",17,1,0,0,27.2086300762573,27.2088540562548,25.5850146417277,25.7859964091779,0.000223979997485912,0.20098176745018,3
