"","X999","msm","msw","men","nopregw","women","baby","preg","all"
"1",999,0.237225797618187,0.0982462228085412,0.206650291160065,0.0869183734537459,0.0869183734537459,-1.74436089573337,28.1311692459896,0.185267416296399
"2",999,0.0315963347265257,0.0730510456523045,0.040716371130197,0.0609695746883588,0.0609695746883588,-1.86980474342517,28.1646393444312,0.0444661805959353
"3",999,0.0347649303088481,0.166191193142113,0.0636787081321664,0.0886643878920446,0.0886643878920446,-1.8663299250883,28.024614710395,0.0688988280363119
"4",999,0.0584675061368996,0.206838986027564,0.0911092317128458,0.132058466690164,0.132058466690164,-1.72185940777173,27.9711325678844,0.0991685506101808
"5",999,0.0256944647970368,0.170822425205852,0.057622616086976,0.112930677437935,0.112930677437935,-1.98544012438033,28.0281328791649,0.0680989334236643
"6",999,0.0652067008964389,0.174274055433285,0.0892015188945449,0.0952666647797871,0.0952666647797871,-1.7103198451057,28.012398679966,0.0910396921186088
"7",999,0.0702020891310487,0.161804087987458,0.0903545288794587,0.101988422309476,0.101988422309476,-1.82769424042094,28.0421634481101,0.0930101455540991
"8",999,0.0269584904929701,0.222269169594,0.0699268398951968,0.153453865287885,0.153453865287885,-1.7166894356672,27.9611811618587,0.0855717332373014
"9",999,0.0599928514905728,0.057632085830776,0.0594734830454175,0.0527014412010389,0.0527014412010389,-1.76075848643506,28.1855407600435,0.0583047662659906
"10",999,0.0488856954774516,0.178659980996681,0.077436038291682,0.12334853180921,0.12334853180921,-1.53482538814139,28.0113598050174,0.086201491902504
