"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","QALY_baby","LE_loss","QALY_loss","n_sim"
"1",2,0,0,1,78.1470016798962,78.1470019031486,77.8125186016892,78.1470019031486,-4.13885172395511,2.23252399678131e-07,0.334483301459443,1
"2",7,0,0,1,73.2028477664808,73.2028487252173,72.8895397081653,73.2028487252173,-4.13885172395511,9.58736507072899e-07,0.313309017052035,1
"3",12,0,0,1,68.2370194289554,68.2370235451192,67.9449730913543,68.2370235451192,-4.13885172395511,4.11616380802116e-06,0.292050453764944,1
"4",17,0,0,1,63.2956359196089,63.295653598944,63.0247425533692,63.2956535989441,-4.13885172395511,1.76793351016613e-05,0.270911045574827,1
"5",22,0,0,1,58.4119266144693,58.4120026000562,58.1619433347855,58.4120026000562,-4.13885172395511,7.59855869461035e-05,0.250059265270757,1
"6",27,0,0,1,53.5747703805437,53.5749965228312,53.3455057619433,53.5749965228312,-4.13885172395511,0.000226142287473863,0.229490760887856,1
"7",32,0,0,1,48.7741927526537,48.7746559484144,48.5654945004331,48.7746559484144,-4.13885172395511,0.000463195760751489,0.209161447981309,1
"8",37,0,0,1,44.0152468908219,44.0159889229955,43.8269354330895,44.0159889229955,-4.13885172395511,0.000742032173633334,0.18905348990603,1
"9",42,0,0,1,39.2955945555699,39.2966203508564,39.1274873139918,39.2966203508563,-4.13885172395511,0.00102579528646629,0.169133036864537,1
"10",50,0,0,1,31.9061608927199,31.9075262079402,31.7696244174341,31.9075262079402,-4.13885172395511,0.00136531522031191,0.137901790506032,1
"11",60,0,0,1,23.1739036859257,23.1744201591943,23.0744429501002,23.1744201591943,-4.13885172395511,0.000516473268607598,0.0999772090940496,1
"12",76,0,0,1,10.4469937663445,10.447299978622,-0.0658640684543622,10.447299978622,-4.13885172395511,0.00030621227745975,10.5131640470763,1
"13",2,0,0,1,78.1470007169791,78.1470019031486,77.9180650519401,78.1470019031486,-4.46972146945479,1.18616948441286e-06,0.228936851208502,2
"14",7,0,0,1,73.2028450446462,73.2028487252173,72.9879187854346,73.2028487252173,-4.46972146945479,3.68057116872933e-06,0.214929939782706,2
"15",12,0,0,1,68.2370121275313,68.2370235451192,68.0361516093455,68.2370235451192,-4.46972146945479,1.14175879417644e-05,0.200871935773733,2
"16",17,0,0,1,63.295618164078,63.295653598944,63.1087518034309,63.2956535989441,-4.46972146945479,3.54348659783454e-05,0.186901795513137,2
"17",22,0,0,1,58.4118922150776,58.4120026000562,58.2388591938122,58.4120026000562,-4.46972146945479,0.0001103849785693,0.173143406244058,2
"18",27,0,0,1,53.5747226861447,53.5749965228312,53.4153938535055,53.5749965228312,-4.46972146945479,0.000273836686488949,0.159602669325629,2
"19",32,0,0,1,48.7741423756579,48.7746559484144,48.628414138572,48.7746559484144,-4.46972146945479,0.000513572756524638,0.146241809842437,2
"20",37,0,0,1,44.0152046888438,44.0159889229955,43.8829534744387,44.0159889229955,-4.46972146945479,0.000784234151666396,0.133035448556797,2
"21",42,0,0,1,39.2955775882367,39.2966203508564,39.1766759838842,39.2966203508563,-4.46972146945479,0.0010427626196261,0.119944366972099,2
"22",50,0,0,1,31.9062586676264,31.9075262079402,31.8081985970102,31.9075262079402,-4.46972146945479,0.00126754031380116,0.099327610929933,2
"23",60,0,0,1,23.1738308552964,23.1744201591943,23.1002343629408,23.1744201591943,-4.46972146945479,0.000589303897900351,0.0741857962534382,2
"24",76,0,0,1,10.447013819933,10.447299978622,-0.12491746905018,10.447299978622,-4.46972146945479,0.000286158688965088,10.5722174476722,2
"25",2,0,0,1,78.1468498814048,78.1470019031486,77.3690528217343,78.1470019031486,-4.47482731583736,0.000152021743801356,0.777949081414334,3
"26",7,0,0,1,73.20262322963,73.2028487252173,72.4833600307356,73.2028487252173,-4.47482731583736,0.000225495587272917,0.719488694481683,3
"27",12,0,0,1,68.2366891492599,68.2370235451192,67.575993194822,68.2370235451192,-4.47482731583736,0.000334395859283632,0.661030350297168,3
"28",17,0,0,1,63.2951575054058,63.295653598944,62.6925335945779,63.2956535989441,-4.47482731583736,0.000496093538181697,0.603120004366197,3
"29",22,0,0,1,58.4112659861413,58.4120026000562,57.8658462865485,58.4120026000562,-4.47482731583736,0.000736613914966711,0.546156313507687,3
"30",27,0,0,1,53.5739421729913,53.5749965228312,53.0848944636635,53.5749965228312,-4.47482731583736,0.00105434983986186,0.490102059167718,3
"31",32,0,0,1,48.773261693677,48.7746559484144,48.3397200622492,48.7746559484144,-4.47482731583736,0.00139425473741994,0.434935886165178,3
"32",37,0,0,1,44.0143062443675,44.0159889229955,43.6351831976238,44.0159889229955,-4.47482731583736,0.00168267862800775,0.380805725371765,3
"33",42,0,0,1,39.2947707558806,39.2966203508564,38.9687469785453,39.2966203508563,-4.47482731583736,0.00184959497575932,0.327873372310975,3
"34",50,0,0,1,31.9058396324545,31.9075262079402,31.660548516718,31.9075262079402,-4.47482731583736,0.00168657548567808,0.246977691222195,3
"35",60,0,0,1,23.1733060722952,23.1744201591943,23.0179933770006,23.1744201591943,-4.47482731583736,0.00111408689911485,0.156426782193719,3
"36",76,0,0,1,10.446973644434,10.447299978622,-0.0822890035114147,10.447299978622,-4.47482731583736,0.000326334188022415,10.5295889821334,3
"37",2,0,0,1,78.1468537345664,78.1470019031486,77.2003644088553,78.1470019031486,-4.04379310506267,0.000148168582157382,0.946637494293384,4
"38",7,0,0,1,73.2026121067903,73.2028487252173,72.3257316742627,73.2028487252173,-4.04379310506267,0.000236618427010171,0.877117050954595,4
"39",12,0,0,1,68.2366457716049,68.2370235451192,67.4295001786011,68.2370235451192,-4.04379310506267,0.000377773514316004,0.807523366518112,4
"40",17,0,0,1,63.2950502142714,63.295653598944,62.5571424040342,63.2956535989441,-4.04379310506267,0.000603384672594132,0.738511194909819,4
"41",22,0,0,1,58.4110381083669,58.4120026000562,57.74144106974,58.4120026000562,-4.04379310506267,0.000964491689337876,0.670561530316213,4
"42",27,0,0,1,53.5735270568561,53.5749965228312,52.9713928045316,53.5749965228312,-4.04379310506267,0.00146946597505604,0.603603718299595,4
"43",32,0,0,1,48.7726214025671,48.7746559484144,48.2371040327133,48.7746559484144,-4.04379310506267,0.00203454584733009,0.53755191570108,4
"44",37,0,0,1,44.0134491037657,44.0159889229955,43.5434815061765,44.0159889229955,-4.04379310506267,0.00253981922978852,0.472507416819042,4
"45",42,0,0,1,39.2937539649277,39.2966203508564,38.8880432784799,39.2966203508563,-4.04379310506267,0.00286638592869082,0.40857707237646,4
"46",50,0,0,1,31.904836480837,31.9075262079402,31.5975549064949,31.9075262079402,-4.04379310506267,0.00268972710322402,0.309971301445234,4
"47",60,0,0,1,23.1726532541656,23.1744201591943,22.9765912711679,23.1744201591943,-4.04379310506267,0.00176690502864929,0.197828888026393,4
"48",76,0,0,1,10.4467581878366,10.447299978622,-0.0191524877652065,10.447299978622,-4.04379310506267,0.000541790785414165,10.4664524663872,4
"49",2,0,0,1,78.1469591912233,78.1470019031486,77.4386721480342,78.1470019031486,-4.7786566498843,4.27119253316732e-05,0.70832975511442,5
"50",7,0,0,1,73.2027649637896,73.2028487252173,72.5437972429852,73.2028487252173,-4.7786566498843,8.37614276747445e-05,0.659051482232087,5
"51",12,0,0,1,68.2368593238142,68.2370235451192,67.6273673086141,68.2370235451192,-4.7786566498843,0.000164221304984835,0.60965623650506,5
"52",17,0,0,1,63.295331495964,63.295653598944,62.7350290195457,63.2956535989441,-4.7786566498843,0.00032210298002866,0.560624579398343,5
"53",22,0,0,1,58.4113703743073,58.4120026000562,57.8996725543817,58.4120026000562,-4.7786566498843,0.000632225748887549,0.512330045674474,5
"54",27,0,0,1,53.5738588297419,53.5749965228312,53.1102745878866,53.5749965228312,-4.7786566498843,0.00113769308924816,0.464721934944627,5
"55",32,0,0,1,48.7728875151795,48.7746559484144,48.356977182718,48.7746559484144,-4.7786566498843,0.00176843323492903,0.417678765696394,5
"56",37,0,0,1,44.0135921115089,44.0159889229955,43.6448132911449,44.0159889229955,-4.7786566498843,0.00239681148655535,0.371175631850683,5
"57",42,0,0,1,39.2937307038629,39.2966203508564,38.9714554759699,39.2966203508563,-4.7786566498843,0.0028896469934665,0.325164874886426,5
"58",50,0,0,1,31.9045676465502,31.9075262079402,31.6543378435563,31.9075262079402,-4.7786566498843,0.00295856138997053,0.253188364383874,5
"59",60,0,0,1,23.1726156350756,23.1744201591943,23.0056397531371,23.1744201591943,-4.7786566498843,0.00180452411872878,0.168780406057149,5
"60",76,0,0,1,10.4466586006841,10.447299978622,-0.115616186852665,10.447299978622,-4.7786566498843,0.000641377937894205,10.5629161654746,5
"61",2,0,0,1,78.1466892215111,78.1470019031486,77.3206099075893,78.1470019031486,-4.06588337076407,0.000312681637495871,0.826391995559362,6
"62",7,0,0,1,73.2024324828429,73.2028487252173,72.4411361774065,73.2028487252173,-4.06588337076407,0.000416242374456033,0.761712547810774,6
"63",12,0,0,1,68.236469582182,68.2370235451192,67.5397484789823,68.2370235451192,-4.06588337076407,0.000553962937260621,0.69727506613691,6
"64",17,0,0,1,63.2949160429792,63.295653598944,62.661959939189,63.2956535989441,-4.06588337076407,0.000737555964832382,0.633693659755096,6
"65",22,0,0,1,58.4110196083727,58.4120026000562,57.8405769337507,58.4120026000562,-4.06588337076407,0.000982991683528667,0.571425666305551,6
"66",27,0,0,1,53.5737136911136,53.5749965228312,53.0645079090844,53.5749965228312,-4.06588337076407,0.0012828317175746,0.510488613746809,6
"67",32,0,0,1,48.7730720263609,48.7746559484144,48.3237230521168,48.7746559484144,-4.06588337076407,0.0015839220535625,0.450932896297573,6
"68",37,0,0,1,44.0141712185197,44.0159889229955,43.6229971669657,44.0159889229955,-4.06588337076407,0.00181770447579765,0.392991756029843,6
"69",42,0,0,1,39.2946946154892,39.2966203508564,38.9597030709887,39.2966203508563,-4.06588337076407,0.0019257353671307,0.336917279867585,6
"70",50,0,0,1,31.9058145960707,31.9075262079402,31.6549287218656,31.9075262079402,-4.06588337076407,0.0017116118694922,0.252597486074567,6
"71",60,0,0,1,23.1733360181811,23.1744201591943,23.0137782355733,23.1744201591943,-4.06588337076407,0.00108414101322651,0.160641923620979,6
"72",76,0,0,1,10.4469906337143,10.447299978622,-0.157101313013566,10.447299978622,-4.06588337076407,0.000309344907686082,10.6044012916355,6
"73",2,0,0,1,78.1469937304114,78.1470019031486,77.4996822520522,78.1470019031486,-4.37156801951972,8.17273723896506e-06,0.647319651096481,7
"74",7,0,0,1,73.2028290536311,73.2028487252173,72.5995657562278,73.2028487252173,-4.37156801951972,1.96715862159635e-05,0.603282968989447,7
"75",12,0,0,1,68.2369762080108,68.2370235451192,67.6779194812722,68.2370235451192,-4.37156801951972,4.73371084410701e-05,0.559104063846959,7
"76",17,0,0,1,63.2955396412509,63.295653598944,62.7804478485094,63.2956535989441,-4.37156801951972,0.000113957693145039,0.51520575043466,7
"77",22,0,0,1,58.4117282545699,58.4120026000562,57.9400899853986,58.4120026000562,-4.37156801951972,0.000274345486282357,0.471912614657619,7
"78",27,0,0,1,53.57442614911,53.5749965228312,53.1458251931197,53.5749965228312,-4.37156801951972,0.000570373721224371,0.429171329711508,7
"79",32,0,0,1,48.773688834163,48.7746559484144,48.3877728022717,48.7746559484144,-4.37156801951972,0.000967114251459122,0.386883146142715,7
"80",37,0,0,1,44.0146008005334,44.0159889229955,43.6709477554804,44.0159889229955,-4.37156801951972,0.00138812246209596,0.345041167515113,7
"81",42,0,0,1,39.2948682699377,39.2966203508564,38.993013712818,39.2966203508563,-4.37156801951972,0.00175208091864931,0.303606638038339,7
"82",50,0,0,1,31.9056134188051,31.9075262079402,31.6688049403974,31.9075262079402,-4.37156801951972,0.00191278913513315,0.238721267542825,7
"83",60,0,0,1,23.1733306995355,23.1744201591943,23.0124103426637,23.1744201591943,-4.37156801951972,0.00108945965881446,0.162009816530571,7
"84",76,0,0,1,10.4468706962241,10.447299978622,-0.052850412114247,10.447299978622,-4.37156801951972,0.00042928239791884,10.5001503907362,7
"85",2,0,0,1,78.1469944712507,78.1470019031486,77.2412652173881,78.1470019031486,-4.1183311545164,7.43189787044685e-06,0.905736685760559,8
"86",7,0,0,1,73.2028311678421,73.2028487252173,72.3591508206432,73.2028487252173,-4.1183311545164,1.75573752585478e-05,0.843697904574114,8
"87",12,0,0,1,68.2369820774187,68.2370235451192,67.4555707231751,68.2370235451192,-4.1183311545164,4.14677005267095e-05,0.781452821944143,8
"88",17,0,0,1,63.2955556183611,63.295653598944,62.5760708479353,63.2956535989441,-4.1183311545164,9.79805828720259e-05,0.719582751008751,8
"89",22,0,0,1,58.4117710329193,58.4120026000562,57.7534923159707,58.4120026000562,-4.1183311545164,0.000231567136935951,0.658510284085544,8
"90",27,0,0,1,53.574520213297,53.5749965228312,52.9768604862437,53.5749965228312,-4.1183311545164,0.000476309534178654,0.598136036587526,8
"91",32,0,0,1,48.7738525474381,48.7746559484144,48.2363118861584,48.7746559484144,-4.1183311545164,0.000803400976280955,0.538344062255966,8
"92",37,0,0,1,44.014839501858,44.0159889229955,43.5368168100179,44.0159889229955,-4.1183311545164,0.00114942113749095,0.479172112977629,8
"93",42,0,0,1,39.2951729622718,39.2966203508564,38.8760010337452,39.2966203508563,-4.1183311545164,0.00144738858453053,0.420619317111075,8
"94",50,0,0,1,31.9059486807455,31.9075262079402,31.5783164251203,31.9075262079402,-4.1183311545164,0.00157752719468007,0.329209782819916,8
"95",60,0,0,1,23.1735239267706,23.1744201591943,22.9525773143852,23.1744201591943,-4.1183311545164,0.000896232423706067,0.221842844809128,8
"96",76,0,0,1,10.4469468293475,10.447299978622,-0.0865032807254174,10.447299978622,-4.1183311545164,0.000353149274511466,10.5338032593474,8
"97",2,0,0,1,78.1470018889068,78.1470019031486,77.9891789594843,78.1470019031486,-4.22693666494346,1.42417775350623e-08,0.157822943664371,9
