"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","QALY_baby","LE_loss","QALY_loss","n_sim"
"1",2,0,0,1,30.1639680248012,30.1639680730653,28.1311692459896,28.2533598015368,-1.74436089573337,4.82640380994326e-08,0.122190555547132,1
"2",7,0,0,1,29.5971858737907,29.5971861140679,27.6828411125836,27.803102641513,-1.74436089573337,2.40277103102926e-07,0.120261528929362,1
"3",12,0,0,1,28.9314733518989,28.9314745477906,27.1419648402295,27.2599050712754,-1.74436089573337,1.19589171276857e-06,0.117940231045971,1
"4",17,0,0,1,28.1716913216532,28.1716972762345,26.5121030227161,26.6273466012026,-1.74436089573337,5.95458129737381e-06,0.115243578486545,1
"5",22,0,0,1,27.3205690219416,27.320598689653,25.7975752574505,25.9097740974883,-1.74436089573337,2.96677114093313e-05,0.112198840037838,1
"6",27,0,0,1,26.3609625180332,26.3610602128057,24.9813837580706,25.0901389659506,-1.74436089573337,9.76947724673494e-05,0.108755207879955,1
"7",32,0,0,1,25.2727535832965,25.2729691853691,24.0451404170434,24.1499819321011,-1.74436089573337,0.000215602072614729,0.104841515057728,1
"8",37,0,0,1,24.0409264074794,24.0412947698537,22.9719925438047,23.072366392685,-1.74436089573337,0.000368362374310038,0.100373848880377,1
"9",42,0,0,1,22.6440963127818,22.6446384817051,21.7371591465391,21.8324012920338,-1.74436089573337,0.000542168923288955,0.0952421454946837,1
"10",50,0,0,1,20.0602826905375,20.0610891081507,19.4141400403659,19.4997116944014,-1.74436089573337,0.000806417613237187,0.0855716540355225,1
"11",60,0,0,1,16.2800877279868,16.2804082665332,15.9366418664362,16.0070221082244,-1.74436089573337,0.000320538546411342,0.0703802417881985,1
"12",76,0,0,1,8.79522015886586,8.79546180697912,-0.0588657004210433,8.79546180697912,-1.74436089573337,0.000241648113252779,8.85432750740016,1
"13",2,0,0,1,30.1639678269992,30.1639680730653,28.1646393444312,28.2533598015368,-1.86980474342517,2.46066086617702e-07,0.0887204571055484,2
"14",7,0,0,1,29.5971852289394,29.5971861140679,27.7156569635628,27.803102641513,-1.86980474342517,8.8512842921773e-07,0.0874456779501642,2
"15",12,0,0,1,28.931471364681,28.9314745477906,27.1739921386508,27.2599050712754,-1.86980474342517,3.18310964075863e-06,0.0859129326246695,2
"16",17,0,0,1,28.1716858238239,28.1716972762345,26.5432121581384,26.6273466012026,-1.86980474342517,1.14524106074043e-05,0.0841344430642472,2
"17",22,0,0,1,27.320557313866,27.320598689653,25.8276400872538,25.9097740974883,-1.86980474342517,4.13757869246467e-05,0.0821340102345083,2
"18",27,0,0,1,26.3609457142757,26.3610602128057,25.0102547786361,25.0901389659506,-1.86980474342517,0.000114498530017215,0.0798841873145193,2
"19",32,0,0,1,25.2727362352316,25.2729691853691,24.0726454369579,24.1499819321011,-1.86980474342517,0.000232950137540655,0.0773364951432036,2
"20",37,0,0,1,24.0409134000137,24.0412947698537,22.997934234743,23.072366392685,-1.86980474342517,0.000381369839963952,0.0744321579419918,2
"21",42,0,0,1,22.6440960854552,22.6446384817051,21.7613094889772,21.8324012920338,-1.86980474342517,0.000542396249830546,0.0710918030565999,2
"22",50,0,0,1,20.0603484595194,20.0610891081507,19.4349672750066,19.4997116944014,-1.86980474342517,0.000740648631257557,0.0647444193947955,2
"23",60,0,0,1,16.280044839209,16.2804082665332,15.9523478198269,16.0070221082244,-1.86980474342517,0.00036342732414596,0.0546742883975124,2
