"","age","male","msm","preg","TS0","TS5","TS10","TS15","TS20","TS25","TS30"
"1",2,1,0,0,0,0.0273769756514522,0.042021310517775,0.0477630706235848,0.0500091606153123,0.0508849615217024,0.0512257759419551
"2",7,1,0,0,0,0.0273849557771191,0.0420308961590854,0.0477603281643606,0.0499943623203653,0.050863727777912,0.0512016060668603
"3",12,1,0,0,0,0.027373846328494,0.0419822927440991,0.0476786141002155,0.0498953147823653,0.0507568339824833,0.0510911670926183
"4",17,1,0,0,0,0.0273291902901357,0.0418718225955561,0.047531189091439,0.0497306980062898,0.0505842699942052,0.0509148087957001
"5",22,1,0,0,0,0.0272858077248921,0.0417811347396112,0.0474148922864422,0.0496012065183362,0.0504478389009975,0.0507740493033829
"6",27,1,0,0,0,0.0272658922038513,0.0417343195783079,0.0473492966988612,0.0495236508715979,0.0503614370987059,0.050681078736357
"7",32,1,0,0,0,0.0272475159527878,0.0416868555014165,0.0472785297637601,0.0494330213166414,0.0502550272007032,0.0505639898828371
"8",37,1,0,0,0,0.0272246521097955,0.041623493375932,0.0471715735351938,0.0492883395742024,0.0500839564007276,0.0503772196780308
"9",42,1,0,0,0,0.0271837684812235,0.0414938245064943,0.046953712640133,0.0490058897838044,0.049762319480482,0.0500343917748711
"10",50,1,0,0,0,0.0269954322375755,0.0409699012451414,0.0461643415363296,0.0480527411117429,0.0487180571874392,0.0489397291643427
"11",60,1,0,0,0,0.026509162778664,0.0397478154185473,0.0444121581354879,0.0459662376356605,0.0464343160858535,0.0465525092886161
"12",76,1,0,0,0,0.0244881034545782,0.0345198119348767,NA,NA,NA,NA
