"","X999","msm","msw","men","nopregw","women","baby","preg","all"
"1",999,0.549210363583301,0.189945141844937,0.470172014800861,0.172653809393713,0.172653809393713,-4.13885172395511,77.8125186016892,0.416935357240782
"2",999,0.0468886628930477,0.133669094473714,0.0659803578407944,0.111249852967591,0.111249852967591,-4.46972146945479,77.9180650519401,0.0743183472060467
"3",999,0.063930891752339,0.386479454476383,0.134891575551629,0.192700719937283,0.192700719937283,-4.47482731583736,77.3690528217343,0.147105989461348
"4",999,0.115405625885719,0.478366447471741,0.195257006634644,0.29812453952061,0.29812453952061,-4.04379310506267,77.2003644088553,0.215430397304995
"5",999,0.0446580335178815,0.374255484065724,0.117169472638407,0.243298063764528,0.243298063764528,-4.7786566498843,77.4386721480342,0.141050354263902
"6",999,0.122061015804001,0.40090237068673,0.183406113878201,0.196328401479738,0.196328401479738,-4.06588337076407,77.3206099075893,0.187666328796595
"7",999,0.138240466345423,0.347304763469737,0.184234611712772,0.215664868708213,0.215664868708213,-4.37156801951972,77.4996822520522,0.191124831200717
"8",999,0.04381154267783,0.482363843556199,0.140293048871071,0.332571163443335,0.332571163443335,-4.1183311545164,77.2412652173881,0.176225615374856
"9",999,0.103562301240278,0.0967035033968416,0.102053365714722,0.0896075539809065,0.0896075539809065,-4.22693666494346,77.9891789594843,0.0998868226159317
"10",999,0.0815468630607332,0.401128268787491,0.15185477232062,0.264414482961136,0.264414482961136,-3.69742869758286,77.3485720322971,0.173354825531886
