"","age","male","msm","preg","TS0","TS5","TS10","TS15","TS20","TS25","TS30"
"1",2,0,0,1,0,0.0273809744002214,0.0420288756504944,0.0477735171105193,0.050024777988862,0.0509060917657437,0.0512507809834047
"2",7,0,0,1,0,0.0273858942628689,0.0420360272999095,0.0477774121716013,0.0500250244542363,0.0509040844889586,0.0512474939836303
"3",12,0,0,1,0,0.0273822526298913,0.0420203894993361,0.0477510243898483,0.0499923238170076,0.0508678994014809,0.0512094864200235
"4",17,0,0,1,0,0.0273681478612472,0.0419849285082029,0.0477018348074693,0.0499351747750436,0.0508064644208998,0.0511457066983448
"5",22,0,0,1,0,0.0273530662185656,0.041949757702188,0.047652193449192,0.0498768763502141,0.0507430710737775,0.0510791437199622
"6",27,0,0,1,0,0.0273399483602059,0.0419142357489792,0.047600241024353,0.0498141240819337,0.0506730828325066,0.0510042981649144
"7",32,0,0,1,0,0.0273212416675594,0.0418680136992511,0.0475320531538921,0.0497296291512781,0.0505770166003033,0.050900845837848
"8",37,0,0,1,0,0.0273008362703286,0.0418102983420486,0.0474399454651432,0.0496107428961105,0.0504403134517557,0.0507537992285229
"9",42,0,0,1,0,0.0272651567453543,0.0417088143019172,0.0472784598188986,0.0494069006742509,0.0502112155457262,0.05051006087318
"10",50,0,0,1,0,0.0271445851393561,0.0413762519996766,0.04678071925397,0.0488045732688622,0.0495445206653967,0.0498035494281474
"11",60,0,0,1,0,0.0268599678947257,0.0406378827620895,0.0456754119182493,0.0474388682868129,0.0480095053428937,0.0481694526644413
"12",76,0,0,1,0,0.02528415949235,0.0363919137816871,NA,NA,NA,NA
