"","age","PS","SS","EL","LL","TS_notx","TS","EN","LN","Treated","Dead_TS","Dead_other","n_sim"
"1",2,0.000581049781315146,0.01149871305246,0,0,0.00309745213886829,0.297596452588388,0.00408802813703509,0.000353953472379771,0,0.000109517158611035,1.49170442788505,1
"2",7,0.00058105305909036,0.0114992951104347,0,0,0.00309008700533302,0.288666558576647,0.00408859801795425,0.00035310038466174,0,0.000184431436929255,1.73832627486696,1
"3",12,0.000581052512502426,0.0114991900316582,0,0,0.00307570558985888,0.278150505717187,0.00408837030492995,0.000351435853327279,0,0.000310184598369954,2.04156007084613,1
"4",17,0.000581041135478328,0.0114971520438893,0,0,0.00305673291325398,0.26641450398392,0.00408611483141403,0.000349245790801924,0,0.000522021391810411,2.3561584228284,1
"5",22,0.000581027362481234,0.0114946953066799,0,0,0.00303889362066405,0.253838967597819,0.00408354281321625,0.000347195979343174,0,0.000882127754158657,2.6392452777057,1
"6",27,0.000581021122581051,0.0114935835547924,0,0,0.00302075795873201,0.240026383225599,0.00408238885169667,0.000345118634394712,0,0.00140442126685524,2.8998823865427,1
"7",32,0.000581016180531563,0.011492700222129,0,0,0.00299596365619124,0.224415318508983,0.00408143196820498,0.000342273317421765,0,0.00201048977652865,3.18388148298019,1
"8",37,0.000581009797169273,0.0114915599677201,0,0,0.00295979092524321,0.206801754795646,0.00408020664341065,0.000338108442275058,0,0.00259574507167697,3.49755206420749,1
"9",42,0.000581001272693174,0.0114900287839817,0,0,0.00290539938033419,0.187081634510645,0.00407842840005794,0.000331824427119134,0,0.00308775268875685,3.84705445199802,1
"10",50,0.000580955509436287,0.0114818368614567,0,0,0.00276761849300549,0.152100850747353,0.00406930373117296,0.000315855384891976,0,0.00328516669169954,4.40048250561786,1
"11",60,0.000580825098425167,0.0114585599895519,0,0,0.00250457113743851,0.106064353488116,0.00404398398829215,0.00028530902941908,0,0.00236688261203938,4.6776020459481,1
"12",76,0.000580289766345087,0.011363450827103,0,0,0.00168900499043953,0.0345421663263422,0.0039404642204055,0.000190634779061182,0,0.000794512976294508,3.39563451354261,1
"13",2,0.000580839989971843,0.011862276655709,0,0,0.0002212706304772,0.0176685922830502,0.00475305281766461,2.26701538430416e-05,0,6.39171423280523e-13,1.49172193136142,2
"14",7,0.000580844267533912,0.0118630107478557,0,0,0.000221323458829978,0.0172948295844018,0.00475391425148241,2.26757469877617e-05,0,3.22415496624992e-11,1.73835593722953,2
"15",12,0.000580843554201297,0.0118628645291389,0,0,0.000221260251549503,0.016843197558167,0.00475331101406498,2.26686871051324e-05,0,1.63981737946409e-09,2.04161023363164,2
"16",17,0.000580828706977143,0.0118602641748947,0,0,0.000220980524411802,0.0163340727425765,0.00474945020332486,2.2638474592941e-05,0,8.40960716819648e-08,2.35624282160877,2
"17",22,0.000580810733231266,0.0118571463559506,0,0,0.000220698929380677,0.0157941008308795,0.00474529361816714,2.26083849792694e-05,0,4.48595335694344e-06,2.63938730732198,2
"18",27,0.000580802590257464,0.0118557371982437,0,0,0.000220564853612773,0.0152028699229493,0.00474341828120637,2.25945242518649e-05,0,3.18620946811884e-05,2.90010984623493,2
"19",32,0.000580796140988208,0.0118546127943081,0,0,0.000220438374808019,0.0145245231664348,0.0047418003534482,2.25819331657261e-05,0,8.34822748949612e-05,3.18421833143736,2
"20",37,0.000580787810887767,0.0118531624084249,0,0,0.000220277567549353,0.0137411933025747,0.00473974575235828,2.2565984426546e-05,0,0.000147935081044386,3.49801156108262,2
"21",42,0.000580776686758497,0.011851200176912,0,0,0.000220008009055957,0.0128344017398832,0.00473651641946437,2.25383670736362e-05,0,0.000221201770421526,3.84763572375845,2
"22",50,0.000580716969158952,0.0118407451082213,0,0,0.00021877701709028,0.0111352524933481,0.00472065231518817,2.24104113338844e-05,0,0.000428992622288501,4.40114029401759,2
"23",60,0.00058054680847779,0.0118111091068539,0,0,0.000215782737304692,0.00875493164165881,0.00467780929610791,2.20783493680427e-05,0,4.28304204216536e-05,4.67822601395258,2
"24",76,0.000579848549649592,0.011690100399929,0,0,0.000202971155716942,0.0041941983127129,0.00450161336721337,2.06993190286501e-05,0,0.000117894463463426,3.39581297239566,2
"25",2,0.000753449045557809,0.00598863563000073,0,0,0.000185562811642394,0.0337155192850531,0.001003165682407,2.06653416612828e-05,0,9.70142777001937e-11,1.49172193135096,3
