"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss"
"1",2,1,1,0,29.5230232634422,29.5230232638257,27.6621786041866,27.7215579745273,3.83490572630762e-10,0.0593793703407428
"2",7,1,1,0,28.8605382127654,28.8605382177847,27.1219466407065,27.1803495206431,5.01927388540935e-09,0.0584028799366685
"3",12,1,1,0,28.0787600805164,28.0787601461822,26.4683353316121,26.5255582263385,6.5665787474245e-08,0.0572228947264151
"4",17,1,1,0,27.208853196072,27.2088540562548,25.730104997841,25.7859964091779,8.60182822748357e-07,0.0558914113369156
"5",22,1,1,0,26.2919282715333,26.2919395584593,24.94750564009,25.0019926778353,1.12869260320281e-05,0.0544870377452469
"6",27,1,1,0,25.2989870828835,25.2990374224323,24.0933653853747,24.1463428265994,5.03395488209435e-05,0.052977441224634
"7",32,1,1,0,24.1745799359369,24.174694858654,23.1148983503039,23.166164042218,0.000114922717084909,0.0512656919140895
"8",37,1,1,0,22.8934352394628,22.8936242573107,21.9850840873029,22.0343735870874,0.000189017847858963,0.0492894997844857
"9",42,1,1,0,21.431996387788,21.4322643216156,20.6763737418571,20.7233704326711,0.000267933827647227,0.046996690813998
"10",50,1,1,0,18.7402663037682,18.7407216561711,18.2231866790721,18.2659278835185,0.000455352402916276,0.0427412044464504
"11",60,1,1,0,14.9916004619817,14.9916919730005,14.7358653685467,14.7720077572748,9.15110187236223e-05,0.0361423887280914
"12",76,1,1,0,8.08284863584469,8.08295799414649,8.05875811041953,8.08295799414649,0.000109358301806139,0.0241998837269577
