"","age","PS","SS","EL","LL","TS_notx","TS","EN","LN","Treated","Dead_TS","Dead_other"
"1",2,0.000618883689175058,0.0102150420305976,0,0,0.000388310462433941,0.0449778490212609,0.00313518531043763,4.40994926485874e-05,0,3.7514739146599e-10,1.49172193132045
"2",7,0.000618885688893086,0.0102155147765519,0,0,0.000388401656069421,0.0440003421700275,0.00313562113975534,4.41100711602844e-05,0,4.98323201635919e-09,1.73835593668381
"3",12,0.000618885355430955,0.0102154309410616,0,0,0.000388187814786915,0.0428207979146007,0.00313544907374231,4.4084467669896e-05,0,6.64942386124077e-08,2.04161022647139
"4",17,0.000618878414448166,0.0102137790283399,0,0,0.000387526057375923,0.0414927016486228,0.00313372791194402,4.4006369476204e-05,0,8.89579451868363e-07,2.35624273285922
"5",22,0.000618870011554136,0.0102117858044383,0,0,0.000386913270495749,0.0400831829822392,0.00313176317644579,4.39346191999619e-05,0,1.18912338537145e-05,2.63938647920745
"6",27,0.000618866204539981,0.01021088359229,0,0,0.000386610863847107,0.0385386742279965,0.00313088171933988,4.38999332284792e-05,0,5.40087232285126e-05,2.90010711516158
"7",32,0.000618863189330995,0.01021016728056,0,0,0.000386315099115466,0.036766987708429,0.00313015132323386,4.3866625303867e-05,0,0.000125951990636697,3.18421244651362
"8",37,0.000618859294725674,0.0102092425067381,0,0,0.000385929263772021,0.0347216571333903,0.00312921586482274,4.38231167676385e-05,0,0.000212479370635564,3.49800139148385
"9",42,0.000618854093732766,0.0102080022825611,0,0,0.000385219772076674,0.0323554424564866,0.00312786030363917,4.37414878072038e-05,0,0.000310450717322172,3.84761965286705
"10",50,0.000618826171322384,0.0102013621526787,0,0,0.000382198295751581,0.0279325481605264,0.0031208989467538,4.33911010485476e-05,0,0.000556878550310838,4.40111297470606
"11",60,0.000618746590844872,0.0101824855606751,0,0,0.000374956153402531,0.021732674851554,0.00310157294904892,4.25261688806209e-05,0,0.000121171579769501,4.67820528359219
"12",76,0.000618419756141568,0.0101053284287657,0,0,0.000344058316406363,0.0099612696999062,0.00302256651136504,3.88827125786181e-05,0,0.000153767845053374,3.39580298722623
