"","age","PS","SS","EL","LL","TS_notx","TS","EN","LN","Treated","Dead_TS","Dead_other","n_sim"
"1",2,0.00058364436540001,0.012276410750287,0,0,0.00101333020171005,0.103676554994043,0.00414317511585341,0.000111615928506729,0,1.20748822839697e-08,0.959920103415574,1
"2",7,0.000583646495381504,0.012276827542652,0,0,0.000996827028076022,0.100189423238367,0.00414353679503508,0.000109697066273621,0,6.10425509668209e-08,1.1156028115914,1
"3",12,0.000583633950051458,0.0122755823506143,0,0,0.000914673454467238,0.0900882783224896,0.00414494623202553,0.000100145818713254,0,3.09750130931304e-07,1.30726336457007,1
"4",17,0.000580254330687848,0.0119521958355314,0,0,0.000780649917002846,0.0749246609166977,0.00415267039258436,8.4556218634764e-05,0,1.8960075901129e-06,1.51489249038337,1
"5",22,0.000580249924376684,0.0119513424274908,0,0,0.000761828637992163,0.0709694423739659,0.00415237901529035,8.23697214366218e-05,0,1.44383641144431e-05,1.73160523741545,1
"6",27,0.000579033654456351,0.0118373202741241,0,0,0.000727239833480784,0.0652916027234349,0.00415762677727336,7.83437424743221e-05,0,5.87038669377836e-05,1.95631237392707,1
"7",32,0.000579028552045058,0.0118363419177355,0,0,0.000779064182674484,0.0667627451433331,0.00415525503351772,8.43765568776639e-05,0,0.000162122172353665,2.20039549484215,1
"8",37,0.000582147886845369,0.0121300275488194,0,0,0.00090579232986337,0.0735217498114021,0.00414210181989011,9.91363948566306e-05,0,0.000344022674782597,2.46000220941464,1
"9",42,0.000582139304714808,0.0121283408977172,0,0,0.000940592038373632,0.0714391675422366,0.00413978653596191,0.000103197131642169,0,0.00055056931201519,2.73857189336867,1
"10",50,0.000583584981717751,0.0122646268531013,0,0,0.00100135503928471,0.0667009201959352,0.00413163341011179,0.000110297242153002,0,0.000918811367628676,3.1673044877007,1
"11",60,0.000583507621994509,0.0122493218885717,0,0,0.000983818599920002,0.0520265437638177,0.00411692834965209,0.000108260589444064,0,0.00039080179417907,3.4431437369493,1
"12",76,0.000583097787611085,0.0121684489316229,0,0,0.000881295720076143,0.0225195732797945,0.00403851687629297,9.64937351915487e-05,0,0.000311685376635818,2.68327354667347,1
"13",2,0.000584991844845914,0.0146598352227108,0,0,0.000813568868642195,0.0658482735108033,0.00591619035260059,9.31848557578911e-05,0,3.37577388614395e-08,0.95992010166997,2
