"","age","male","msm","preg","LE_ps","LE_healthy","QALY_ps","QALY_healthy","LE_loss","QALY_loss"
"1",2,0,0,0,30.1639679904666,30.1639680730653,28.1133365087599,28.2533598015368,8.2598653250443e-08,0.140023292776895
"2",7,0,0,0,29.5971858698651,29.5971861140679,27.6713208683698,27.803102641513,2.44202770005586e-07,0.131781773143125
"3",12,0,0,0,28.931473824886,28.9314745477906,27.1482640990111,27.2599050712754,7.22904673011726e-07,0.11164097226429
"4",17,0,0,0,28.1716943861166,28.1716972762345,26.5363952449745,26.6273466012026,2.89011794052385e-06,0.0909513562281639
"5",22,0,0,0,27.3205835051667,27.320598689653,25.824134828537,25.9097740974883,1.51844862763539e-05,0.085639268951315
"6",27,0,0,0,26.3610064739996,26.3610602128057,25.0103890476945,25.0901389659506,5.37388060735111e-05,0.0797499182561019
"7",32,0,0,0,25.2728177281634,25.2729691853691,24.0639836469695,24.1499819321011,0.000151457205689098,0.0859982851316801
"8",37,0,0,0,24.0409728463865,24.0412947698537,22.9738509728393,23.072366392685,0.00032192346725779,0.0985154198457465
"9",42,0,0,0,22.6441363977403,22.6446384817051,21.7327498349333,21.8324012920338,0.000502083964743605,0.0996514571005171
"10",50,0,0,0,20.0603802376527,20.0610891081507,19.4040302421773,19.4997116944014,0.000708870497952319,0.0956814522241309
"11",60,0,0,0,16.2800093110463,16.2804082665332,15.9302727107569,16.0070221082244,0.000398955486861752,0.0767493974675144
"12",76,0,0,0,8.79524684501757,8.79546180697912,8.75517435216513,8.79546180697912,0.000214961961541249,0.0402874548139831
