"","age","PS_mean","PS_lb","PS_ub","SS_mean","SS_lb","SS_ub","TS_notx_mean","TS_notx_lb","TS_notx_ub","TS_mean","TS_lb","TS_ub","EN_mean","EN_lb","EN_ub","LN_mean","LN_lb","LN_ub","Dead_TS_mean","Dead_TS_lb","Dead_TS_ub"
"1",2,0.000543086195803084,0.000266598252041741,0.000836748085289062,0.0103626629364152,0.00625273560506302,0.0158892068626467,0.00130786139100917,0.000506138800509566,0.00199691284909239,0.167681637329666,0.0496103515889272,0.265418145704899,0.00350826319824032,0.000624326695264406,0.00730131000665825,0.000165664588821179,7.50140027989634e-05,0.000428728621612725,4.90035856381357e-07,3.22563011999198e-09,1.80320060582334e-06
"2",7,0.00054308748672762,0.000266598817938319,0.000836749380342977,0.0103630238080667,0.00625295367233173,0.0158898202257941,0.00118271630229233,0.000496150752089455,0.00178173574582542,0.149040358623335,0.0478528932521592,0.240851118976167,0.00350856828529374,0.000624384849018823,0.00730191254773775,0.000149324392803689,6.79731379997105e-05,0.000378908719765249,9.02479101297098e-07,1.72135431231049e-08,3.12126584290287e-06
"3",12,0.000543072462129039,0.000266592622779048,0.000836730001618461,0.0103620150800392,0.00625250825024093,0.0158882557751364,0.000925568822928684,0.000430933111994108,0.00135230012401897,0.113840302201776,0.0425847293330452,0.187106975996796,0.00350621810795651,0.000624461526397777,0.007297657085129,0.000116714157702052,5.13632858905857e-05,0.00029073574110674,1.7226126587112e-06,9.3610092310132e-08,5.41742474633229e-06
"4",17,0.000539007554185213,0.000264917065033654,0.000831469548605354,0.010106187985717,0.00613899306287755,0.0154995767361534,0.000704764211155802,0.00034571006470542,0.00103254037013074,0.0838852431516895,0.0349530591430275,0.138667412341332,0.00344597212231264,0.000612895216790859,0.00732136760152492,8.87406421797573e-05,3.79305733407947e-05,0.000223430735110627,4.94977079936804e-06,6.38855294038136e-07,1.28118306447088e-05
"5",22,0.000539004936745741,0.000264915915123995,0.000831466932392974,0.0101054368519455,0.00613853706009366,0.0154982855861987,0.00066941282620173,0.00033353552029856,0.000975361338352203,0.0771156187857938,0.0330749209719017,0.127338787300828,0.00344473214176517,0.000612821062535749,0.00731887640624452,8.4337436436809e-05,3.55407425252815e-05,0.000212311927869802,2.1385654334559e-05,5.56292952649655e-06,4.430329805725e-05
"6",27,0.000537548359183831,0.000264315373988757,0.000829577769275129,0.0100151311460317,0.00609819692789273,0.0153607563716461,0.000639871894130505,0.000316990249148528,0.000960285004246176,0.0704510526431102,0.0303039342269157,0.115509069414104,0.00342637150221134,0.000609229243093277,0.00733460931249699,8.09275978117821e-05,3.44645063680081e-05,0.000210631772866017,7.32491161540002e-05,2.39810409222999e-05,0.000137508870975317
"7",32,0.000537545350519448,0.000264314051104123,0.000829574766385133,0.0100142884091758,0.00609767323917313,0.0153593269908686,0.000793481780495839,0.000364467076456659,0.00125019851783524,0.0825785129422243,0.0311582428833075,0.133310122394173,0.00342667218090388,0.000608923359731553,0.0073351476399548,0.000101062166656715,4.60930123253849e-05,0.000273743379664769,0.000223045818149815,6.98728461445389e-05,0.000404969009108724
"8",37,0.000541294861990718,0.000265859617170689,0.00083443548378586,0.0102465854496099,0.00620082284486181,0.0157123544237433,0.00107881380300741,0.000446185219409917,0.00169117120577314,0.10553846102295,0.0348152311706618,0.167179314962324,0.00347565118724557,0.000618396661075052,0.00729890072311471,0.000137811457473615,6.31196182227504e-05,0.000369940564601431,0.000506881708648642,0.000153237479749613,0.000879435368087245
"9",42,0.000541289705424242,0.000265857354577905,0.000834430318376654,0.0102451178122747,0.00619992933192947,0.0157098442342186,0.00123511109182546,0.000467070446166013,0.00194696659590718,0.111705906211058,0.0340534127262444,0.174726696462741,0.00347488988863349,0.000618058811712309,0.00729744230218326,0.000157793647224449,7.14947382741714e-05,0.000425870801528055,0.000807738504372741,0.000249093276907422,0.00137616084569564
"10",50,0.000543050204767178,0.000266582474595438,0.000836711977208541,0.0103523737492504,0.00624653095647637,0.0158715661295035,0.00137406124633944,0.000501461899130001,0.00212617612549298,0.107727201529244,0.032082143216488,0.168746987110494,0.0034973414472856,0.000622391007550856,0.00727992456189471,0.000175086329756265,7.8262665603655e-05,0.000462662516036235,0.0011170783133677,0.00042096006612319,0.00186322218251959
"11",60,0.000543003318544104,0.000266561920331478,0.000836664932676979,0.0103390261522764,0.0062384797848178,0.0158487110380002,0.00130318798184233,0.0004928245641725,0.00199022344522461,0.0796049792298055,0.0250901793668533,0.126655333888425,0.00348352666693146,0.00061993768331131,0.00725282640175651,0.000165338336273935,7.42226847538251e-05,0.00042731027078558,0.000746022963167004,0.000162874460854402,0.00133041525164464
"12",76,0.000542754919277712,0.000266453012811981,0.00083641558493646,0.0102684610684109,0.00619592355313907,0.0157278438994086,0.00100225131312963,0.000443190707250204,0.00148849791091163,0.0290816713879614,0.0110215433037217,0.0477969711401197,0.0034095139978504,0.000606811670273585,0.00710780580966152,0.000125509511096128,5.64258885000785e-05,0.00030267946521075,0.000358826718498566,0.000142197703634094,0.000608995155328624
